Qty,Item,Price Level,Price Type,Resale Value,Resale Per Ticket,Resale Difference,Resale Date,Seatblock1
6,F07,5,R,$720.00,$120.00,$360.00,11/21/2019,"U:524:W:7,12"
2,F07,5,R,$274.50,$137.25,$237.66,11/21/2019,"U:529:W:1,2"
3,F04,2,G3,$120.00,$40.00,$45.00,9/25/2019,"L:111:H:9,11"
2,F04,1,DPP,$141.98,$70.99,$141.98,10/15/2019,"L:124:QQ:18,19"
6,F05,5,R,$96.00,$16.00,-$6.00,11/7/2019,"U:518:F:1,6"
2,F06,1,R,$80.00,$40.00,-$24.28,11/13/2019,"L:124:BBB:24,25"
2,F04,1,DPP,$159.02,$79.51,$159.02,10/17/2019,"L:107:FF:7,8"
12,F03,1,DPP,$335.88,$27.99,$335.88,9/2/2019,"L:110:Z:1,12"
1,F02,5,DPP,$15.00,$15.00,$15.00,9/11/2019,"U:522:Y:25,25"
1,F01,5,R,$6.00,$6.00,-$12.43,9/6/2019,"U:529:W:5,5"
2,F07,3,R,$266.00,$133.00,$126.00,11/26/2019,"L:114:U:1,2"
2,F07,2,R,$300.00,$150.00,$140.00,11/28/2019,"L:121:J:9,10"
2,F02,1,SC,$70.00,$35.00,$70.00,9/13/2019,"U:507:R:5,6"
1,F05,5,FS,$10.00,$10.00,-$3.57,11/9/2019,"U:525:L:4,4"
8,F02,2,G3,$480.00,$60.00,$280.00,8/28/2019,"L:111:H:1,8"
1,F07,5,R,$119.00,$119.00,$100.58,11/27/2019,"U:525:P:9,9"
3,F05,5,SD,$36.00,$12.00,-$8.13,11/8/2019,"U:515:L:6,8"
4,F03,1,R,$120.00,$30.00,-$88.56,9/11/2019,"L:127:M:18,21"
4,F04,1,R,$407.44,$101.86,$198.88,7/29/2019,"L:125:M:18,21"
2,F02,2,G3,$63.90,$31.95,$13.90,9/9/2019,"U:534:Y:7,8"
2,F01,1,R,$40.00,$20.00,-$64.28,9/4/2019,"L:127:MM:15,16"
2,F03,1,R,$80.00,$40.00,-$24.28,9/9/2019,"L:125:L:18,19"
3,F07,4,R,$450.00,$150.00,$270.00,11/11/2019,"L:130:S:11,13"
4,F03,5,R,$48.00,$12.00,-$20.00,9/18/2019,"U:528:N:14,17"
1,F05,5,R,$10.00,$10.00,-$8.43,10/31/2019,"U:522:G:10,10"
1,F03,5,R,$10.00,$10.00,-$8.43,9/19/2019,"U:527:S:16,16"
3,F07,5,R,$356.70,$118.90,$176.70,11/26/2019,"U:525:Z:9,11"
2,F01,5,R,$12.00,$6.00,-$24.86,9/6/2019,"U:520:K:21,22"
1,F02,5,DPP,$14.00,$14.00,$14.00,9/13/2019,"U:518:V:20,20"
1,F02,5,DPP,$22.99,$22.99,$22.99,9/11/2019,"U:539:Z:9,9"
1,F06,2,R,$10.00,$10.00,-$37.14,11/22/2019,"L:107:B:10,10"
2,F05,1,DPP,$53.98,$26.99,$53.98,11/7/2019,"L:127:BB:7,8"
2,F04,1,R,$80.00,$40.00,-$24.28,10/18/2019,"L:127:L:14,15"
2,F05,1,R,$50.00,$25.00,-$54.28,11/8/2019,"L:127:L:14,15"
2,F03,2,R,$100.00,$50.00,$2.86,9/20/2019,"L:125:D:14,15"
2,F03,1,R,$66.00,$33.00,-$38.28,9/20/2019,"L:106:W:1,2"
2,F02,5,R,$54.00,$27.00,$17.14,9/14/2019,"U:511:N:15,16"
3,F07,2,R,$420.00,$140.00,$180.00,11/26/2019,"U:508:U:10,12"
3,F03,2,R,$120.00,$40.00,-$21.42,9/7/2019,"L:106:D:15,17"
2,F04,1,PDI,$104.00,$52.00,$44.00,10/1/2019,"L:128:KK:16,17"
2,F07,5,R,$218.00,$109.00,$181.16,11/18/2019,"U:511:S:19,20"
3,F03,1,DPP,$53.97,$17.99,$53.97,9/19/2019,"L:110:FF:8,10"
1,F04,5,GS,$15.00,$15.00,$0.29,10/17/2019,"U:528:S:20,20"
4,F01,1,R,$100.00,$25.00,-$108.56,8/14/2019,"L:106:DD:1,4"
4,F06,1,R,$60.00,$15.00,-$148.56,11/20/2019,"L:126:P:18,21"
1,F04,5,DPP,$16.28,$16.28,$16.28,10/18/2019,"U:516:Q:2,2"
1,F01,5,R,$6.60,$6.60,-$10.40,8/20/2019,"U:537:O:7,7"
1,F03,5,R,$11.00,$11.00,-$7.43,9/20/2019,"U:539:Q:5,5"
2,F04,4,YA,$58.00,$29.00,$7.72,10/8/2019,"L:130:S:9,10"
2,F07,4,R,$277.78,$138.89,$157.78,11/27/2019,"U:510:O:15,16"
4,F04,5,R,$40.00,$10.00,-$33.72,10/3/2019,"U:519:L:7,10"
2,F06,3,R,$16.00,$8.00,-$58.28,11/19/2019,"L:116:QQ:25,26"
1,F04,5,FS,$20.00,$20.00,$5.29,10/19/2019,"U:537:R:13,13"
2,F02,5,SC,$47.34,$23.67,$47.34,9/14/2019,"U:522:X:15,16"
2,F03,2,R,$60.00,$30.00,-$34.28,9/9/2019,"L:124:B:7,8"
2,F06,1,R,$74.00,$37.00,-$30.28,11/14/2019,"L:124:H:1,2"
1,F05,2,G2,$20.24,$20.24,-$9.76,11/8/2019,"L:121:Y:7,7"
3,F02,1,R,$201.00,$67.00,$40.29,9/9/2019,"U:506:A:18,20"
1,F01,5,R,$6.00,$6.00,-$12.43,9/6/2019,"U:529:W:16,16"
3,F04,2,G3,$105.00,$35.00,$30.00,10/2/2019,"L:129:CC:17,19"
2,F01,1,R,$50.00,$25.00,-$54.28,9/2/2019,"L:126:T:9,10"
3,F02,1,R,$96.00,$32.00,-$84.00,9/11/2019,"U:534:L:11,13"
4,F07,1,R,$584.00,$146.00,$264.00,9/29/2019,"U:532:O:15,18"
2,F02,1,R,$266.40,$133.20,$162.12,7/25/2019,"L:106:P:12,13"
2,F05,5,FS,$16.00,$8.00,-$13.42,10/16/2019,"U:527:T:9,10"
3,F03,2,R,$134.97,$44.99,-$6.45,8/17/2019,"L:125:B:14,16"
2,F01,1,R,$40.00,$20.00,-$64.28,9/6/2019,"L:126:LL:1,2"
4,F02,5,R,$88.00,$22.00,$14.28,9/12/2019,"U:539:P:5,8"
2,F03,1,R,$60.00,$30.00,-$44.28,9/21/2019,"L:108:W:9,10"
2,F02,5,DPP,$31.98,$15.99,$31.98,9/12/2019,"U:517:X:21,22"
1,F01,5,R,$6.93,$6.93,-$11.50,9/5/2019,"U:513:Q:11,11"
2,F02,5,DPP,$35.98,$17.99,$35.98,9/14/2019,"U:525:W:7,8"
4,F05,4,YA,$140.00,$35.00,$44.00,10/26/2019,"L:131:E:1,4"
2,F07,5,R,$208.00,$104.00,$88.00,11/25/2019,"U:512:V:31,32"
2,F02,1,CD,$120.00,$60.00,$120.00,9/13/2019,"L:106:NN:24,25"
5,F05,1,DPP,$129.95,$25.99,$129.95,11/8/2019,"L:108:OO:16,20"
2,F02,3,R,$124.00,$62.00,$34.00,8/3/2019,"L:114:G:1,2"
1,F02,1,PDI,$76.00,$76.00,$39.00,9/12/2019,"U:506:Q:3,3"
6,F05,2,R,$282.00,$47.00,-$0.84,10/28/2019,"L:123:E:5,10"
12,F06,1,DPP,$237.12,$19.76,$237.12,10/18/2019,"U:532:O:1,12"
2,F03,2,R,$121.50,$60.75,$31.50,9/15/2019,"U:531:S:5,6"
2,F02,2,G3,$90.00,$45.00,$40.00,8/20/2019,"L:111:F:13,14"
1,F07,4,R,$125.00,$125.00,$65.00,11/29/2019,"U:512:K:13,13"
1,F02,5,DPP,$16.99,$16.99,$16.99,9/13/2019,"U:517:W:10,10"
2,F07,1,R,$310.00,$155.00,$150.00,11/21/2019,"U:534:M:25,26"
1,F05,1,DPP,$33.06,$33.06,$33.06,10/30/2019,"U:532:P:10,10"
6,F05,1,DPP,$199.62,$33.27,$199.62,10/28/2019,"U:532:P:4,9"
6,F02,2,G3,$300.00,$50.00,$150.00,7/11/2019,"L:121:J:1,6"
3,F03,2,R,$159.12,$53.04,$17.70,9/15/2019,"L:121:B:3,5"
5,F01,2,R,$253.80,$50.76,$18.10,8/1/2019,"L:125:B:14,18"
1,F02,2,R,$134.13,$134.13,$86.99,9/7/2019,"L:123:D:12,12"
1,F02,2,R,$134.13,$134.13,$86.99,9/7/2019,"L:123:D:13,13"
1,F02,2,R,$134.13,$134.13,$86.99,9/7/2019,"L:123:D:14,14"
1,F02,2,R,$134.13,$134.13,$86.99,9/7/2019,"L:123:D:15,15"
1,F02,2,R,$134.13,$134.13,$86.99,9/7/2019,"L:123:D:16,16"
4,F05,1,DPP,$171.96,$42.99,$171.96,8/2/2019,"L:106:NN:1,4"
2,F03,1,R,$59.00,$29.50,-$45.28,9/21/2019,"L:126:P:1,2"
2,F04,1,R,$130.00,$65.00,$22.86,10/15/2019,"L:124:N:3,4"
2,F07,1,R,$340.00,$170.00,$235.68,11/29/2019,"L:109:XX:20,21"
2,F07,5,R,$198.00,$99.00,$78.00,11/25/2019,"U:527:R:7,8"
2,F02,1,R,$130.00,$65.00,$25.72,9/11/2019,"L:107:ZZ:3,4"
2,F04,5,FS,$28.00,$14.00,-$1.42,10/16/2019,"U:519:G:3,4"
5,F01,4,DPP,$49.45,$9.89,$49.45,9/4/2019,"U:513:H:1,5"
3,F07,1,R,$888.00,$296.00,$727.26,11/11/2019,"L:107:F:1,3"
4,F02,3,SP,$136.00,$34.00,$64.96,9/5/2019,"L:115:O:23,26"
1,F05,5,R,$9.99,$9.99,-$8.44,9/14/2019,"U:513:S:16,16"
1,F05,5,R,$15.00,$15.00,-$3.43,11/5/2019,"U:538:V:14,14"
1,F02,5,DPP,$19.00,$19.00,$19.00,9/13/2019,"U:518:W:22,22"
1,F07,5,V,$125.00,$125.00,$55.00,11/25/2019,"U:519:V:21,21"
2,F05,1,FS,$34.00,$17.00,-$49.42,11/8/2019,"L:122:NN:24,25"
1,F01,5,R,$6.00,$6.00,-$12.43,9/6/2019,"U:515:J:4,4"
1,F04,5,YA,$19.80,$19.80,$5.09,10/19/2019,"U:538:S:22,22"
2,F07,3,R,$330.00,$165.00,$252.84,11/25/2019,"L:112:J:1,2"
1,F04,2,R,$147.07,$147.07,$99.93,9/22/2019,"L:123:D:12,12"
1,F04,2,R,$147.07,$147.07,$99.93,9/22/2019,"L:123:D:13,13"
1,F04,2,R,$147.07,$147.07,$99.93,9/22/2019,"L:123:D:14,14"
1,F04,2,R,$147.07,$147.07,$99.93,9/22/2019,"L:123:D:15,15"
1,F04,2,R,$147.07,$147.07,$99.93,9/22/2019,"L:123:D:16,16"
3,F05,3,R,$30.00,$10.00,-$85.71,11/9/2019,"L:112:J:2,4"
2,F05,1,DPP,$50.96,$25.48,$50.96,11/8/2019,"L:127:Z:15,16"
2,F01,1,FS,$44.00,$22.00,-$41.72,9/5/2019,"L:123:CCC:12,13"
1,F02,5,DPP,$14.00,$14.00,$14.00,9/10/2019,"U:518:Z:18,18"
1,F01,5,R,$6.00,$6.00,-$11.00,9/3/2019,"U:522:E:2,2"
1,F03,5,R,$9.00,$9.00,-$9.43,9/20/2019,"U:514:P:15,15"
1,F05,5,R,$8.00,$8.00,-$10.43,10/21/2019,"U:525:U:7,7"
1,F05,5,R,$8.00,$8.00,-$10.43,10/21/2019,"U:525:U:8,8"
1,F04,5,FS,$12.00,$12.00,-$2.71,10/18/2019,"U:529:Z:18,18"
1,F05,4,DPP,$14.00,$14.00,$14.00,11/8/2019,"U:504:Q:8,8"
1,F02,1,P,$25.00,$25.00,$7.24,9/14/2019,"U:507:S:14,14"
2,F04,5,R,$34.76,$17.38,-$2.10,10/19/2019,"U:537:T:1,2"
2,F03,5,R,$18.00,$9.00,-$18.86,9/18/2019,"U:520:K:11,12"
1,F01,5,R,$7.00,$7.00,-$10.00,9/5/2019,"U:518:G:7,7"
2,F01,1,R,$78.00,$39.00,-$26.28,9/4/2019,"L:124:M:10,11"
4,F01,5,R,$24.00,$6.00,-$49.72,9/6/2019,"U:529:Q:7,10"
1,F07,1,R,$175.00,$175.00,$95.00,11/25/2019,"U:506:O:6,6"
1,F07,1,R,$175.00,$175.00,$95.00,11/25/2019,"U:506:O:7,7"
1,F07,1,R,$175.00,$175.00,$95.00,11/25/2019,"U:506:O:8,8"
1,F07,1,R,$175.00,$175.00,$95.00,11/25/2019,"U:506:O:9,9"
5,F05,1,DPP,$118.65,$23.73,$118.65,11/5/2019,"L:110:Y:17,21"
4,F07,4,R,$640.00,$160.00,$400.00,11/24/2019,"U:530:O:15,18"
4,F05,2,R,$160.00,$40.00,-$28.56,11/7/2019,"L:107:B:9,12"
2,F07,5,R,$350.00,$175.00,$313.16,10/26/2019,"U:537:P:11,12"
1,F01,3,R,$10.00,$10.00,-$27.14,9/5/2019,"L:112:GG:14,14"
6,F01,1,DPP,$65.94,$10.99,$65.94,9/2/2019,"L:109:NN:17,22"
15,F03,1,DPP,$419.85,$27.99,$419.85,9/17/2019,"L:110:JJ:1,15"
1,F03,4,DPP,$9.00,$9.00,$9.00,9/20/2019,"U:504:O:14,14"
1,F05,5,R,$16.00,$16.00,-$2.43,11/7/2019,"U:537:V:13,13"
1,F02,5,V,$21.00,$21.00,-$24.00,9/14/2019,"U:518:Q:21,21"
2,F05,5,R,$22.00,$11.00,-$12.00,11/9/2019,"U:512:N:1,2"
2,F04,3,DPP,$47.98,$23.99,$47.98,10/18/2019,"L:116:MM:13,14"
1,F05,5,FS,$11.00,$11.00,-$3.71,11/3/2019,"W:515:WC:9,9"
1,F01,5,R,$6.00,$6.00,-$12.43,9/6/2019,"U:539:P:17,17"
3,F05,2,DPP,$55.32,$18.44,$55.32,11/8/2019,"L:111:SS:5,7"
3,F01,1,DPP,$68.82,$22.94,$68.82,9/5/2019,"U:532:L:4,6"
2,F03,2,R,$60.00,$30.00,-$37.14,9/21/2019,"L:122:A:10,11"
2,F07,5,R,$186.00,$93.00,$152.00,9/15/2019,"U:515:G:7,8"
2,F02,1,CD,$120.00,$60.00,$120.00,9/13/2019,"L:106:OO:24,25"
2,F02,5,DPP,$35.98,$17.99,$35.98,9/14/2019,"U:539:X:5,6"
2,F02,1,R,$160.00,$80.00,$55.72,8/25/2019,"L:127:N:11,12"
3,F03,5,R,$21.00,$7.00,-$34.29,9/21/2019,"U:538:U:14,16"
3,F02,1,R,$315.90,$105.30,$159.48,7/29/2019,"L:107:P:13,15"
1,F02,1,R,$95.00,$95.00,$41.43,9/11/2019,"L:107:S:1,1"
2,F03,2,R,$118.78,$59.39,$24.50,7/29/2019,"L:125:B:4,5"
1,F07,4,R,$99.00,$99.00,$69.00,11/21/2019,"U:528:J:4,4"
4,F06,2,R,$100.00,$25.00,-$88.56,11/20/2019,"L:126:E:9,12"
4,F03,1,R,$140.00,$35.00,-$68.56,9/19/2019,"L:108:MM:7,10"
4,F07,1,R,$796.00,$199.00,$587.36,8/20/2019,"L:124:M:14,17"
2,F01,1,R,$50.00,$25.00,-$54.28,8/22/2019,"L:125:W:15,16"
3,F01,1,R,$45.00,$15.00,-$115.71,9/4/2019,"L:122:CC:8,10"
1,F04,3,FS,$19.00,$19.00,-$11.86,10/19/2019,"L:112:NN:21,21"
2,F03,5,R,$15.98,$7.99,-$20.88,9/20/2019,"U:515:O:1,2"
2,F02,3,SP,$92.00,$46.00,$56.48,9/12/2019,"L:117:OO:16,17"
6,F05,5,R,$78.00,$13.00,-$32.58,11/4/2019,"U:539:Q:6,11"
2,F07,5,V,$198.00,$99.00,$58.00,11/9/2019,"U:519:Z:15,16"
3,F04,1,R,$180.00,$60.00,$23.58,10/18/2019,"L:107:XX:3,5"
1,F02,5,DPP,$16.00,$16.00,$16.00,9/10/2019,"U:518:Z:1,1"
3,F03,5,R,$25.47,$8.49,-$29.82,9/19/2019,"U:513:R:1,3"
2,F07,5,R,$152.98,$76.49,$116.14,11/26/2019,"U:513:S:13,14"
1,F01,5,R,$6.00,$6.00,-$12.43,9/6/2019,"U:520:K:19,19"
2,F02,2,G3,$130.00,$65.00,$80.00,9/6/2019,"L:111:G:1,2"
4,F03,5,YA,$34.00,$8.50,-$24.84,9/6/2019,"U:537:L:14,17"
1,F07,6,SG,$85.00,$85.00,$25.00,11/28/2019,"H:HW:14:24,24"
2,F03,2,R,$69.00,$34.50,-$25.28,9/16/2019,"L:106:C:13,14"
4,F02,2,R,$360.00,$90.00,$171.44,9/7/2019,"L:106:E:15,18"
1,F02,5,V,$18.00,$18.00,-$27.00,9/14/2019,"U:519:U:1,1"
3,F02,2,P,$93.75,$31.25,$40.47,9/7/2019,"U:535:P:7,9"
1,F04,1,R,$34.00,$34.00,-$18.14,10/18/2019,"L:128:U:4,4"
1,F04,1,YA,$34.00,$34.00,-$8.86,10/18/2019,"L:128:U:5,5"
1,F04,1,YA,$34.00,$34.00,-$8.86,10/18/2019,"L:128:U:6,6"
3,F04,3,G3,$96.00,$32.00,$21.00,10/19/2019,"L:116:CC:19,21"
3,F04,5,FS,$51.00,$17.00,$6.87,10/17/2019,"U:537:T:11,13"
2,F07,1,R,$320.00,$160.00,$215.68,11/27/2019,"L:124:MM:12,13"
3,F02,1,SC,$255.00,$85.00,$255.00,9/13/2019,"L:127:K:13,15"
1,F04,5,DPP,$14.99,$14.99,$14.99,10/18/2019,"U:515:X:14,14"
2,F02,2,G3,$57.50,$28.75,$7.50,9/13/2019,"U:505:Z:9,10"
2,F01,4,DPP,$19.78,$9.89,$19.78,9/6/2019,"U:513:H:6,7"
2,F07,3,R,$320.00,$160.00,$245.68,11/28/2019,"L:119:P:2,3"
2,F01,3,R,$50.00,$25.00,-$27.14,9/5/2019,"L:120:A:1,2"
2,F07,5,R,$230.00,$115.00,$110.00,11/24/2019,"U:513:Q:1,2"
2,F02,4,PDI,$56.00,$28.00,$4.00,9/14/2019,"U:538:K:14,15"
1,F02,5,DPP,$16.99,$16.99,$16.99,9/12/2019,"U:523:Y:1,1"
3,F02,1,PDI,$174.00,$58.00,$99.00,9/12/2019,"U:533:N:1,3"
2,F03,4,DPP,$20.98,$10.49,$20.98,9/19/2019,"U:510:S:5,6"
2,F04,4,R,$32.00,$16.00,-$30.86,10/18/2019,"U:510:H:1,2"
3,F05,1,DPP,$73.47,$24.49,$73.47,11/8/2019,"U:532:P:14,16"
4,F05,4,DPP,$60.00,$15.00,$60.00,11/8/2019,"U:510:S:16,19"
1,F04,5,R,$17.00,$17.00,-$1.43,10/18/2019,"U:538:U:1,1"
1,F01,1,DPP,$21.99,$21.99,$21.99,9/6/2019,"U:532:O:7,7"
4,F07,5,R,$404.00,$101.00,$164.00,11/18/2019,"U:522:P:18,21"
2,F04,1,DPP,$67.54,$33.77,$67.54,10/10/2019,"L:109:S:7,8"
2,F01,2,R,$85.60,$42.80,-$8.68,8/22/2019,"L:125:C:13,14"
4,F07,2,R,$596.00,$149.00,$276.00,11/26/2019,"L:121:H:5,8"
1,F01,5,R,$6.00,$6.00,-$12.43,8/28/2019,"U:513:S:1,1"
2,F05,1,R,$30.00,$15.00,-$74.28,11/9/2019,"L:122:QQ:3,4"
2,F01,1,R,$38.00,$19.00,-$66.28,9/6/2019,"L:108:RR:1,2"
1,F02,5,DPP,$24.81,$24.81,$24.81,9/14/2019,"U:512:V:25,25"
4,F03,1,R,$200.00,$50.00,-$8.56,9/8/2019,"L:126:TT:17,20"
2,F03,1,R,$65.00,$32.50,-$39.28,9/21/2019,"L:127:V:23,24"
2,F07,2,R,$364.00,$182.00,$204.00,11/14/2019,"L:121:H:11,12"
3,F02,5,DPP,$68.91,$22.97,$68.91,9/14/2019,"U:526:U:6,8"
1,F02,5,DPP,$21.99,$21.99,$21.99,9/12/2019,"U:517:Z:14,14"
2,F02,4,P,$38.00,$19.00,$2.48,9/14/2019,"U:512:K:16,17"
1,F04,5,R,$15.50,$15.50,-$2.93,10/17/2019,"U:537:W:8,8"
2,F06,1,R,$40.00,$20.00,-$64.28,11/11/2019,"L:127:L:4,5"
1,F07,5,R,$99.00,$99.00,$80.58,11/5/2019,"U:519:H:19,19"
2,F07,5,SS,$259.00,$129.50,$139.00,11/28/2019,"U:518:M:20,21"
1,F05,5,FS,$9.00,$9.00,-$5.71,10/9/2019,"U:528:T:10,10"
1,F07,2,R,$393.11,$393.11,$345.95,7/29/2019,"L:107:E:10,10"
1,F07,2,R,$393.11,$393.11,$345.95,7/29/2019,"L:107:E:5,5"
1,F07,2,R,$393.11,$393.11,$345.95,7/29/2019,"L:107:E:6,6"
1,F07,2,R,$393.11,$393.11,$345.95,7/29/2019,"L:107:E:7,7"
1,F07,2,R,$393.11,$393.11,$345.95,7/29/2019,"L:107:E:8,8"
1,F07,2,R,$393.11,$393.11,$345.95,7/29/2019,"L:107:E:9,9"
1,F02,5,DPP,$19.98,$19.98,$19.98,9/14/2019,"U:525:X:1,1"
1,F04,1,DPP,$26.98,$26.98,$26.98,10/19/2019,"U:508:L:29,29"
1,F03,3,DPP,$10.99,$10.99,$10.99,9/21/2019,"L:117:V:9,9"
7,F05,2,DPP,$122.22,$17.46,$122.22,11/8/2019,"L:111:C:9,15"
6,F07,3,R,$828.00,$138.00,$408.00,11/27/2019,"L:115:FF:11,16"
